id,grupo,classe,ordem,familia,subfamilia,tribo,genero,binomio,binomio_autor,nome_comum,dieta,locomocao,distribuicao_estado,distribuicao,endemismo,iucn_2025,iucn_rationale,cites_2025,salve_2023,mma_2022,copam_2010,iema_2022,semil_2018,sedest_2024,consema_ma_2025,sema_ba_2017,consema_sc_2011,gov_rs_2014,sema_ce_2022,foto_inat,link_inat
73,Médio e grande porte,Mammalia,Cingulata,Chlamyphoridae,Tolypeutinae,,Cabassous,Cabassous squamicaudis,"Cabassous squamicaudis (Lund, 1845)",tatu-de-rabo-mole,Myr,SF,"Bahia, Distrito Federal, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Rondônia, São Paulo, Tocantins","Cerrado, Pantanal","Brasil, Mata Atlântica",LC,"O Cabassous squamicaudis é listado como Preocupação Menor devido à sua ampla distribuição, presumida grande população, sua ocorrência em várias áreas protegidas e porque é improvável que esteja declinando rápido o suficiente para ser incluído na categoria ameaçada.",-,-,-,-,-,-,-,-,-,-,-,-,https://static.inaturalist.org/photos/48373814/medium.jpg,https://www.inaturalist.org/taxa/1275376
74,Médio e grande porte,Mammalia,Cingulata,Chlamyphoridae,Tolypeutinae,,Cabassous,Cabassous tatouay,"Cabassous tatouay (Desmarest, 1804)","tatu-de-rabo-mole-grande, tatu-de-rabo-mole",Myr,SF,"Bahia, Ceará, Goiás, Espírito Santo, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Paraíba, Paraná, Pernambuco, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo","Caatinga, Cerrado, Mata Atlântica, Pampa",Brasil,LC,"Cabassous tatouay é listada como Preocupação Menor devido à sua ampla distribuição, presumida grande população, sua ocorrência em várias áreas protegidas, sua tolerância a algum grau de modificação do habitat e porque é improvável que esteja diminuindo rápido o suficiente para ser incluída na categoria ameaçada.",III,-,-,-,-,-,DD,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/175056905/medium.jpg,https://www.inaturalist.org/taxa/47091
75,Médio e grande porte,Mammalia,Cingulata,Chlamyphoridae,Tolypeutinae,,Cabassous,Cabassous unicinctus,"Cabassous unicinctus (Linnaeus, 1758)","tatu-de-rabo-mole, tatu-de-rabo-mole-comum, cabassú, tatu-rabo-de-couro, tatu-de-rabo-mole-pequeno",Myr,SF,"Acre, Amapá, Amazonas, Maranhão, Mato Grosso, Pará, Rondônia, Roraima",Amazônia,-,LC,"Cabassous unicinctus é listado como Preocupação Menor devido à sua ampla distribuição, sua ocorrência em várias áreas protegidas e porque é improvável que esteja declinando rápido o suficiente para ser incluído na categoria ameaçada. No entanto, é afetado pela perda de habitat.",-,-,-,-,-,-,-,EN,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/77482560/medium.jpeg,https://www.inaturalist.org/taxa/47093
76,Médio e grande porte,Mammalia,Cingulata,Chlamyphoridae,Tolypeutinae,,Priodontes,Priodontes maximus,"Priodontes maximus (Kerr, 1792)","tatu-canastra, tatu-açu, tatuaçu",Myr,SF,"Acre, Amapá, Amazonas, Bahia, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Piauí, Rondônia, Roraima,Tocantins","Amazônia, Cerrado, Mata Atlântica, Pantanal","Brasil, Amazônia",VU,"Priodontes maximus, a maior de todas as espécies de tatus existentes, possui uma ampla área de distribuição, mas é naturalmente raro em toda a sua área, é muito disperso e a população selvagem está diminuindo. A principal ameaça à espécie é a perda de habitat e fragmentação devido ao desmatamento, mudanças no uso da terra e agricultura, mas a espécie também é afetada pela caça para carne e colisões com veículos. Por outro lado, o recente aumento de incêndios florestais em várias partes de sua área de distribuição tem um impacto severo sobre essa espécie, incluindo em áreas intocadas e/ou protegidas, como o Parque Nacional de Emas, a floresta amazônica e o Pantanal. Além disso, às vezes é capturada para ser mantida como animal de estimação ou para ser vendida como um ""fóssil vivo"" no mercado negro,  mas geralmente não sobrevive muito tempo em cativeiro. Essa espécie desapareceu de grande parte de sua área de distribuição sul",I,VU,VU,EN,CR,-,-,-,EN,-,-,RE,https://inaturalist-open-data.s3.amazonaws.com/photos/116421927/medium.jpeg,https://www.inaturalist.org/taxa/47085
77,Médio e grande porte,Mammalia,Cingulata,Chlamyphoridae,Tolypeutinae,,Tolypeutes,Tolypeutes matacus,"Tolypeutes matacus (Desmarest, 1804)","tatu-bola, mataco",In/On,SF,"Mato Grosso, Mato Grosso do Sul","Cerrado, Pantanal",Mata Atlântica,NT,"Tolypeutes matacus está listada como Quase Ameaçada porque essa espécie provavelmente está em declínio significativo (embora a uma taxa inferior a 30% ao longo de 12 anos) devido à perda generalizada de habitat em grande parte de sua área de distribuição e à exploração para alimento, tornando a espécie próxima de se qualificar como Vulnerável sob o critério A2cd.",-,NT,-,-,-,-,-,CR,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/407811543/medium.jpeg,https://www.inaturalist.org/taxa/47081
78,Médio e grande porte,Mammalia,Cingulata,Chlamyphoridae,Tolypeutinae,,Tolypeutes,Tolypeutes tricinctus,"Tolypeutes tricinctus (Linnaeus, 1758)","tatu-bola, tatu-bola-da-caatinga, tatu-apara, bola, bolinha, tranquinha, tatu-bola-do-nordeste",In/On,SF,"Alagoas, Bahia, Ceará, Goiás, Maranhão, Minas Gerais, Paraíba, Pernambuco, Piauí, Rio Grande do Norte, Sergipe, Tocantins","Caatinga, Cerrado",Amazônia,VU,"Tolypeutes tricinctus está listado como Vulnerável devido a um declínio populacional — estimado em mais de 30% nos últimos 10-15 anos — inferido pela exploração contínua e perda e degradação de habitat. Uma reavaliação está sendo realizada em nível nacional no Brasil, o que pode resultar em uma atualização da avaliação global da Lista Vermelha da IUCN para essa espécie.",-,EN,EN,-,-,-,-,-,EN,-,-,CR,https://inaturalist-open-data.s3.amazonaws.com/photos/102765581/medium.jpg,https://www.inaturalist.org/taxa/47080
79,Médio e grande porte,Mammalia,Cingulata,Dasypodidae,Dasypodinae,,Dasypus,Dasypus guianensis,"Dasypus (Dasypus) guianensis Barthe et al., 2024",tatu-galinha,In/On,SF,"Amazonas, Amapá, Pará, Roraima",Amazônia,Amazônia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://static.inaturalist.org/photos/354249089/medium.jpeg,https://www.inaturalist.org/taxa/1647421
80,Médio e grande porte,Mammalia,Cingulata,Dasypodidae,Dasypodinae,,Dasypus,Dasypus novemcinctus,"Dasypus (Dasypus) novemcinctus Linnaeus, 1758","tatu-galinha, tatu-verdadeiro, tatu-de-folha, tatu-veado, tatu-liso, tatuetê, tatu-nove-bandas, tatu-preto",In/On,SF,"Acre, Alagoas, Amapá, Amazonas, Bahia, Ceará, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Rondônia, Roraima, Santa Catarina, São Paulo, Sergipe, Tocantins","Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal","Brasil, Amazônia",LC,"Dasypus novemcinctus é listado como Preocupação Menor devido à sua distribuição muito ampla, presumida grande população, tolerância à alteração do habitat e porque não há evidências de um declínio populacional significativo.",-,-,-,-,-,-,LC,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/528221418/medium.jpg,https://www.inaturalist.org/taxa/47075
81,Médio e grande porte,Mammalia,Cingulata,Dasypodidae,Dasypodinae,,Dasypus,Dasypus beniensis,"Dasypus (Hyperoambon) beniensis Lönnberg, 1942",tatu-quinze-quilos,In/On,SF,"Mato Grosso, Pará, Rondônia",Amazônia,Amazônia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://static.inaturalist.org/photos/361479044/medium.png,https://www.inaturalist.org/taxa/1275368
82,Médio e grande porte,Mammalia,Cingulata,Dasypodidae,Dasypodinae,,Dasypus,Dasypus kappleri,"Dasypus (Hyperoambon) kappleri Krauss, 1862","tatu-quinze-quilos, tatu-tinga, tatu-açu",In/On,SF,"Amapá, Amazonas, Pará",Amazônia,-,LC,"O Dasypus kappleri está listado como Preocupação Menor devido à sua ampla distribuição, sua ocorrência em várias áreas protegidas e porque é improvável que esteja diminuindo rápido o suficiente para ser incluído na categoria ameaçada.",-,-,-,-,-,-,-,-,-,-,-,-,https://static.inaturalist.org/photos/319767732/medium.jpg,https://www.inaturalist.org/taxa/1275369
83,Médio e grande porte,Mammalia,Cingulata,Dasypodidae,Dasypodinae,,Dasypus,Dasypus pastasae,"Dasypus (Hyperoambon) pastasae (Thomas, 1901)",tatu-quinze-quilos,In/On,SF,Amazonas,Amazônia,Brasil,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://static.inaturalist.org/photos/319767732/medium.jpg,https://www.inaturalist.org/taxa/1275369
84,Médio e grande porte,Mammalia,Cingulata,Dasypodidae,Dasypodinae,,Dasypus,Dasypus septemcinctus,"Dasypus (Muletia) septemcinctus Linnaeus, 1758","tatu-capa-preta, tatuí, mulita, tatu-mirim, tatu-mula, muleta, tatu-china, tatuzinho, tatuíra, tatu-mulita",In/On,SF,"Bahia, Ceará, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Sul, Rondônia, Santa Catarina, São Paulo, Tocantins","Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal",Amazônia,LC,"Dasypus septemcinctus está listado como Preocupação Menor devido à sua ampla distribuição, presumida grande população, sua ocorrência em algumas áreas protegidas e porque é improvável que esteja diminuindo rápido o suficiente para ser incluído na categoria ameaçada.",-,-,-,-,-,-,DD,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/32909142/medium.jpg,https://www.inaturalist.org/taxa/1275370
85,Médio e grande porte,Mammalia,Pilosa,Bradypodidae,,,Bradypus,Bradypus tridactylus,"Bradypus (Bradypus) tridactylus Linnaeus, 1758","preguiça-de-bentinho, aí, preguiça-de-três-dedos, preguiça-do-norte, preguiça-de-garganta-amarela",Fo,Ar,"Amapá, Amazonas, Pará, Roraima",Amazônia,-,LC,"Bradypus tridactylus é avaliado como Preocupação Menor devido à sua ampla distribuição. A espécie é afetada pela perda de habitat devido ao desmatamento resultante da mudança de uso do solo e da expansão urbana. No entanto, é improvável que esteja caindo rápido o suficiente para ser incluído na categoria ameaçada, já que as taxas de desmatamento não são tão altas quanto em outras partes da Amazônia. Uma reavaliação será necessária caso as taxas de desmatamento aumentem dentro de sua área de ocorrência. Â",-,-,-,-,-,-,-,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/158274793/medium.jpg,https://www.inaturalist.org/taxa/47068
86,Médio e grande porte,Mammalia,Pilosa,Bradypodidae,,,Bradypus,Bradypus variegatus,"Bradypus (Bradypus) variegatus Schinz, 1825","preguiça-comum, aí, ai-ai, preguiça-marmota, preguiça-de-bentinho, preguiça-de-óculos, preguiça-de-garganta-marrom",Fo,Ar,"Acre, Alagoas, Amazonas, Bahia, Espírito Santo, Goiás, Maranhão, Mato Grosso do Sul, Minas Gerais, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rondônia, Roraima, São Paulo, Sergipe, Tocantins","Amazônia, Cerrado, Mata Atlântica","Brasil, Amazônia",LC,"Bradypus variegatus é considerado de Menor Preocupação devido à sua ampla distribuição, incluindo grande parte da floresta amazônica, presumida grande população e sua ocorrência em diversas áreas protegidas. Embora existam ameaças, como perda de habitat devido ao desmatamento, incêndios florestais, comércio ilegal e o uso de indivíduos selvagens para turismo de selfies, não se acredita que estejam causando quedas significativas na população global. No entanto, podem fazê-lo em nível local e justificar a inclusão da espécie em categoria ameaçada nas Listas Vermelhas regionais.",II,-,-,-,-,-,-,-,-,-,-,CR(PEX),https://static.inaturalist.org/photos/73892662/medium.jpg,https://www.inaturalist.org/taxa/47067
87,Médio e grande porte,Mammalia,Pilosa,Bradypodidae,,,Bradypus,Bradypus torquatus,"Bradypus (Scaeopus) torquatus Illiger, 1811","preguiça-de-coleira, preguiça-de-coleira-do-nordeste, aipixuna, aí-pixuna, preguiça-preta, aí-igapó",Fo,Ar,"Bahia, Sergipe",Mata Atlântica,Amazônia,EN,"Bradypus torquatus já era listado como Vulnerável. No entanto, em 2023, uma revisão taxonômica forneceu evidências de que as subpopulações do Rio de Janeiro e Espírido Santo devem ser consideradas uma espécie separada (B. crinitus). Essa divisão taxonômica levou a uma redução significativa da extensão de ocorrência (EOO) e da área de ocupação (AOO) de B. torquatus. Análises recentes do habitat disponível deixado para B. torquatus, baseadas em um banco de dados de registros aprimorado e revisado (Santos et al. 2019), indicam que essa espécie possui uma área de área de 424 km² (P.M. Santos, A.G. Chiarello, dados não publicados), que é menor que o limite para inclusão na categoria de Ameaçado sob o critério B2. Essa análise também indicou que a floresta remanescente está sujeita a um declínio contínuo devido ao desmatamento e à perturbação. As informações disponíveis indicam que a espécie não se aventura mais de 200 m da borda da floresta mais próxima. A maioria (mais de 80%) dos fragmentos florestais remanescentes dentro da distribuição desta espécie tem menos de 10 hectares e estão separados por pelo menos 200 m",-,VU,VU,-,VU,-,-,-,VU,-,-,-,https://static.inaturalist.org/photos/108111759/medium.jpg,https://www.inaturalist.org/taxa/47066
88,Médio e grande porte,Mammalia,Pilosa,Bradypodidae,,,Bradypus,Bradypus crinitus,"Bradypus (Scaeopus) crinitus Gray, 1850","preguiça-de-coleira, preguiça-de-coleira-do-sudeste",Fo,Ar,"Espírito Santo, Rio de Janeiro",Mata Atlântica,"Brasil, Mata Atlântica",EN,"Bradypus crinitus e B. torquatus eram anteriormente considerados uma única espécie, listada como Vulnerável. No entanto, em 2023, uma revisão taxonômica forneceu evidências de que as subpopulações do Rio de Janeiro e Espírido Santo deveriam ser consideradas espécies separadas (B. crinitus). A divisão taxonômica levou a uma diminuição significativa da área de distribuição, extensão de ocorrência (EOO) e área de ocupação (AOO) de ambas as espécies. A EOO de B. crinitus foi estimada em 41.221 km² e sua área de efeito em 392 km². Este último é menor que o limite para a categoria de Ameaçado sob o critério B2. A floresta remanescente dentro de sua área de distribuição declinou continuamente nos últimos 30 anos devido ao desmatamento e perturbação florestal associados a efeitos de borda e extração ilegal de madeira, entre outros fatores antropogênicos. As informações disponíveis indicam que a espécie não se aventura mais de 200 m da borda da floresta mais próxima. A maioria (mais de 80%) dos fragmentos florestais remanescentes dentro da distribuição desta espécie tem menos de 10 hectares e estão separados por pelo menos 200 m",-,-,-,-,-,-,-,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/253751905/medium.jpg,https://www.inaturalist.org/taxa/1431311
89,Médio e grande porte,Mammalia,Pilosa,Choloepodidae,,,Choloepus,Choloepus didactylus,"Choloepus didactylus (Linnaeus, 1758)","preguiça-real, unau",Fo,Ar,"Acre, Amapá, Amazonas, Maranhão, Mato Grosso, Pará, Rondônia, Roraima",Amazônia,"Brasil, Mata Atlântica",LC,"Choloepus didactylus é listado como Preocupação Menor devido à sua ampla distribuição, presumida grande população e sua ocorrência em diversas áreas protegidas. A espécie é afetada por várias ameaças, especialmente a perda de habitat devido a incêndios florestais e mudanças no uso do solo. No entanto, é improvável que ela esteja caindo rápido o suficiente para ser considerada considerada uma categoria ameaçada.",II,-,-,-,-,-,-,-,-,-,-,-,https://static.inaturalist.org/photos/120313449/medium.jpg,https://www.inaturalist.org/taxa/47100
90,Médio e grande porte,Mammalia,Pilosa,Choloepodidae,,,Choloepus,Choloepus hoffmanni,"Choloepus hoffmanni Peters, 1858","preguiça-de-hoffmann, preguiça-real, unau",Fo,Ar,"Amazonas, Mato Grosso, Rondônia",Amazônia,Amazônia,LC,"Choloepus hoffmanni está listado como Preocupação Menor devido à sua ampla distribuição, presumida grande população e sua ocorrência em diversas áreas protegidas. A espécie é afetada por várias ameaças, especialmente o desmatamento contínuo, incêndios florestais, caça e comércio ilegal. É improvável que esteja caindo rápido o suficiente para se qualificar para a listagem em uma categoria ameaçada em nível global. No entanto, algumas subpopulações podem potencialmente ser avaliadas como Quase Ameaçadas ou Vulneráveis. No Brasil, por exemplo, a espécie está listada como Quase Ameaçada.",II,NT,-,-,-,-,-,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/359883491/medium.jpg,https://www.inaturalist.org/taxa/47101
91,Médio e grande porte,Mammalia,Pilosa,Cyclopedidae,,,Cyclopes,Cyclopes didactylus,"Cyclopes didactylus (Linnaeus, 1758)","tamandua-í, tamanduá-cigarra, tamanduá-seda",Myr,Ar,"Amazonas, Amapá, Maranhão, Pará, Piau","Amazônia, Mata Atlântica",Pantanal,LC,"Cyclopes didactylus é listado como Menor Preocupação devido à sua ampla distribuição, presumida grande população, sua ocorrência em várias áreas protegidas, sua tolerância a algum grau de modificação do habitat e porque é improvável que esteja declinando rápido o suficiente para ser incluído em uma categoria mais ameaçada.",-,-,-,-,-,-,-,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/266132994/medium.jpeg,https://www.inaturalist.org/taxa/930135
92,Médio e grande porte,Mammalia,Pilosa,Cyclopedidae,,,Cyclopes,Cyclopes ida,"Cyclopes ida Thomas, 1900",tamandua-í,Myr,Ar,Amazonas,Amazônia,"Brasil, Amazônia",DD,"Cyclopes idaÂ foi descrito recentemente como uma espécie separada. Ele é listado como Dados Deficientes devido à falta de informações sobre sua distribuição exata, tamanho populacional e as ameaças que o afetam.",-,-,-,-,-,-,-,-,-,-,-,-,https://static.inaturalist.org/photos/30906676/medium.jpeg,https://www.inaturalist.org/taxa/930130
93,Médio e grande porte,Mammalia,Pilosa,Cyclopedidae,,,Cyclopes,Cyclopes rufus,"Cyclopes rufus  Miranda et al., 2017",tamandua-í,Myr,Ar,Rondônia,Amazônia,Amazônia,LC,"A descrição da espécie Cyclopes rufus baseia-se em sete registros, todos no estado de Rondônia, Brasil, uma área com altas taxas de desmatamento. Registros fotográficos não confirmados sugerem que a espécie também pode estar presente no norte da Bolívia, e é possível que também ocorra no sudeste do Peru. O desmatamento devido à expansão da pecuária e da agricultura em larga escala é a principal ameaça à espécie. Além disso, barragens de mineração e hidrelétricas também representam impactos. No entanto, as informações atualmente disponíveis sugerem que a perda de habitat dificilmente se traduzirá em uma redução no tamanho da população que justificaria sua inclusão em categoria ameaçada. Portanto, o Cyclopes rufus está listado como Menor Preocupação, com uma forte recomendação para pesquisa urgente e monitoramento da situação.",-,-,-,-,-,-,-,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/220774316/medium.jpeg,https://www.inaturalist.org/taxa/930141
94,Médio e grande porte,Mammalia,Pilosa,Cyclopedidae,,,Cyclopes,Cyclopes thomasi,"Cyclopes thomasi Miranda et al., 2017",tamandua-í,Myr,Ar,"Amazonas, Acre",Amazônia,-,DD,"Cyclopes thomasi foi descrito recentemente como uma espécie separada. Ele é listado como Dados Insuficientes devido à falta de informações sobre sua distribuição exata, tamanho populacional e as ameaças que o afetam.",-,-,-,-,-,-,-,-,-,-,-,-,https://static.inaturalist.org/photos/29108687/medium.jpg,https://www.inaturalist.org/taxa/930134
95,Médio e grande porte,Mammalia,Pilosa,Cyclopedidae,,,Cyclopes,Cyclopes xinguensis,"Cyclopes xinguensis Miranda et al., 2017",tamandua-í,Myr,Ar,"Amazonas, Pará",Amazônia,Amazônia,LC,"Cyclopes xinguensis é endêmica do Brasil. Sua distribuição é limitada ao norte pelo rio Amazonas, a leste pelo rio Xingu e a oeste pelo rio Madeira. O limite sul da distribuição ainda é desconhecido. Apesar da incidência de perda de habitat, mineração e hidrelétricas, principalmente no extremo norte de sua distribuição, considera-se que tais ameaças não implicam risco de extinção para a espécie num futuro próximo. Portanto, a C. xinguensis está listada como Preocupação Menor (LC), com uma forte recomendação para pesquisa urgente e monitoramento da situação.",-,-,-,-,-,-,-,EN,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/247641096/medium.jpg,https://www.inaturalist.org/taxa/930140
96,Médio e grande porte,Mammalia,Pilosa,Myrmecophagidae,,,Myrmecophaga,Myrmecophaga tridactyla,"Myrmecophaga tridactyla Linnaeus, 1758","tamanduá-bandeira, papa-formigas, tamanduá-açú, tamanduá-cavalo, iurumi, jurumi, jurumim, bandeira, bandurra",Myr,Te,"Acre, Amapá, Amazonas, Bahia, Ceará, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraná, Piauí, Rio de Janeiro, Rio Grande do Sul, Rondônia, Roraima, Santa Catarina, São Paulo, Tocantins","Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal",Amazônia,VU,"Myrmecophaga tridactyla é geograficamente difundida, mas houve muitos registros de extinção populacional, especialmente na América Central (onde é considerada o mamífero mais ameaçado) e nas partes sul de sua distribuição. As baixas taxas reprodutivas, o grande tamanho corporal, juntamente com ameaças à perda e degradação do habitat em muitas partes de sua área de ocorrência, provaram ser fatores significativos em seu declínio. O Tamanduá-gigante está atualmente listado em uma categoria de ameaça em praticamente todas as Listas Vermelhas regionais e nacionais. Uma perda populacional de pelo menos 30% nos últimos 10 anos foi estimada com base em extinções locais, perda de habitat e mortes causadas por incêndios e atropelamentos nas estradas. Com base nesse declínio e ameaças passadas que ainda persistem hoje, é provável que a população tenha sofrido uma redução geral no tamanho populacional de pelo menos 30%, mas menos de 50% nas últimas três gerações (suspeita-se que tenha sido cerca de 21 anos",II,VU,VU,VU,-,VU,CR,-,VU,-,CR,CR(PEX),https://inaturalist-open-data.s3.amazonaws.com/photos/108811809/medium.jpg,https://www.inaturalist.org/taxa/47107
97,Médio e grande porte,Mammalia,Pilosa,Myrmecophagidae,,,Tamandua,Tamandua tetradactyla,"Tamandua tetradactyla (Linnaeus, 1758)","tamanduá-mirim, tamanduá-de-colete, tamanduá-colete, jaleco, mambira, meleta, melete, mixila, iapichau",Myr,Sc,"Acre, Alagoas, Amapá, Amazonas, Bahia, Ceará, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Rondônia, Roraima, Santa Catarina, São Paulo, Sergipe, Tocantins","Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal",Amazônia,LC,"Tamandua tetradactyla está listada como Preocupação Menor devido à sua ampla distribuição, presumida grande população, sua ocorrência em várias áreas protegidas e porque é improvável que esteja diminuindo rápido o suficiente para ser incluída em uma categoria ameaçada.",-,-,-,-,-,-,LC,-,-,-,VU,-,https://inaturalist-open-data.s3.amazonaws.com/photos/10425251/medium.jpg,https://www.inaturalist.org/taxa/47104
98,Médio e grande porte,Mammalia,Lagomorpha,Leporidae,,,Sylvilagus,Sylvilagus brasiliensis,"Sylvilagus brasiliensis (Linnaeus, 1758)","tapeti, tapiti",Hb,Te,"Alagoas, Pernambuco, Sergipe",Mata Atlântica,Brasil,EN,"Esta é essencialmente uma nova avaliação, considerando que o Tapetã é uma forma altamente restrita, em vez de cobrir a maior parte da América do Sul, devido ao refinamento dos limites de espécies de Sylvilagus em toda a América do Sul (Ruedas et al.2017, Ruedas e Smith 2018). A distribuição geográfica conhecida da espécie está confinada à porção norte do Bioma da Mata Atlântica, no Centro de Endemismo de Pernambuco (CEPE). A modelagem ecológica de nicho dessa espécie sugere que seu habitat disponível é restrito a entre 500 e 700 km² (Ruedas et al. 2017, Ruedas e Smith 2018). Esta região sofre com perda contínua de habitat, altos níveis de fragmentação e aumento do desenvolvimento, aspectos que restringem ainda mais o habitat disponível para ocupação pelos Tapetã. A CEPE perdeu 94,4% de sua cobertura florestal, e a maioria dos fragmentos florestais tem menos de 10 ha (Mendes Pontes et al. 2016). O estudo mais abrangente de todos os mamíferos da região constatou que todos os grandes mamíferos estavam regionalmente extintos, e entre as espécies atuais o Tapetã foi um dos três menos abundantes, com taxas de avistamento abaixo de um nível detectável (Mendes Pontes et al., 2016). Assim, uma estimativa conservadora da área atual de ocupação (AOO) é inferior a 400 km², e provavelmente muito menor. Assim, o Tapetã parece estar em Perigo de Extinção (EN) seguindo os critérios B2ab(ii,iii).",-,DD,-,-,-,-,DD,-,-,-,EN,-,https://inaturalist-open-data.s3.amazonaws.com/photos/114976102/medium.jpeg,https://www.inaturalist.org/taxa/1649643
99,Médio e grande porte,Mammalia,Lagomorpha,Leporidae,,,Sylvilagus,Sylvilagus minensis,"Sylvilagus minensis Thomas, 1901","tapeti, tapiti",Hb,Te,"Acre, Bahia, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Paraná, Pará, Piauí, Rio Grande do Sul, São Paulo","Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal","Brasil, Mata Atlântica",-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/582281762/medium.jpg,https://www.inaturalist.org/taxa/1639056
100,Médio e grande porte,Mammalia,Lagomorpha,Leporidae,,,Sylvilagus,Sylvilagus paraguensis,"Sylvilagus paraguensis Thomas, 1901","tapeti, tapiti",Hb,Te,Rio Grande do Sul,Mata Atlântica,"Brasil, Mata Atlântica",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sem Foto,https://www.inaturalist.org/taxa/1639057
101,Médio e grande porte,Mammalia,Lagomorpha,Leporidae,,,Sylvilagus,Sylvilagus tapetillus,"Sylvilagus tapetillus  Thomas, 1913","tapeti, tapiti",Hb,Te,Rio de Janeiro,Mata Atlântica,Brasil,VU,"Essa espécie é conhecida de uma única localidade, embora se suponha que ocupe habitat local semelhante. No entanto, é uma espécie ecologicamente restrita. Essa distribuição é central para uma área de nível de desenvolvimento extremamente alto, e suspeita-se que a espécie esteja extinta ou quase extinta (Ruedas et al. 2017). Os critérios VU D2 baseiam-se em supostas pequenas pegadas tanto de extensão de ocorrência (EOO) quanto de área de ocupação (AOO), combinadas com a existência em uma única localidade, e a observação que a espécie indica ser fortemente ameaçada pelo desenvolvimento contínuo. A espécie é pouco conhecida para ser considerada sob critérios de CR.",-,NT,-,-,-,-,-,VU,-,-,-,-,Sem Foto,https://www.inaturalist.org/taxa/1129456
102,Médio e grande porte,Mammalia,Primates,Atelidae,Alouattinae,,Alouatta,Alouatta belzebul,"Alouatta belzebul (Linnaeus, 1766)",guariba-de-mãos-ruivas,Fo/Fr,Ar,"Alagoas, Maranhão, Pará, Paraíba, Pernambuco, Rio Grande do Norte, Tocantins","Amazônia, Mata Atlântica","Brasil, Mata Atlântica",VU,"Alouatta belzebul é considerada VU A4cd, baseada principalmente nas ameaças às suas populações amazônicas (mais de 95% do total), que se suspeita já tenham diminuído ao longo de uma geração (2007-2018) e que continuem a diminuir mais de 30% ao longo das gerações atuais e subsequentes (2019-2040) devido à perda de um terço ou mais do habitat florestal adequado e aos impactos da caça média a intensa,  que foram encontrados como capazes de reduzir a densidade populacional de primatas neotropicais de corpo grande em mais de 50%.",II,VU,VU,-,-,-,-,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/64609797/medium.jpg,https://www.inaturalist.org/taxa/43441
